epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,5071.17,1.38093,0.99867,0.01315,0.76214,0.74985,0.79638,0.47499,1.51317,1.02512,0.01898,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,5184.32,1.37567,0.9871,0.01319,0.77187,0.75478,0.80438,0.48108,1.50484,0.98941,0.01894,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,5299.05,1.36654,0.98421,0.01313,0.78318,0.74608,0.80591,0.48263,1.50992,0.99916,0.01908,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,5414.34,1.3568,0.97006,0.01274,0.79171,0.75924,0.81712,0.49046,1.50318,0.96159,0.01893,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,5528.68,1.35522,0.96052,0.01299,0.79448,0.74329,0.8077,0.48715,1.50818,0.98547,0.01896,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,5642.8,1.34171,0.97406,0.01284,0.80298,0.75517,0.81736,0.49357,1.48493,0.96722,0.01861,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,5757.37,1.34127,0.94517,0.01271,0.7929,0.76868,0.82152,0.49763,1.47628,0.96326,0.01848,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,5872.39,1.32958,0.93282,0.01248,0.80074,0.75665,0.82047,0.49763,1.48944,0.95218,0.01889,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,5987.42,1.32301,0.92193,0.01247,0.7897,0.76599,0.8218,0.5017,1.48464,0.9407,0.01875,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,6105.14,1.31918,0.91669,0.01249,0.79836,0.76546,0.82203,0.50389,1.47632,0.96974,0.01863,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,6220.44,1.31251,0.90761,0.01252,0.81258,0.76249,0.83169,0.50916,1.47937,0.92609,0.01856,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,6336.2,1.30731,0.88411,0.01227,0.82179,0.76583,0.83186,0.51226,1.48412,0.92346,0.01869,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,6455.95,1.29165,0.88194,0.01233,0.81028,0.76003,0.82673,0.51216,1.4631,0.94833,0.01836,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,6575.46,1.29253,0.87238,0.01204,0.80925,0.76775,0.8288,0.51873,1.44797,0.92855,0.01805,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,6696.39,1.28862,0.8718,0.01221,0.82269,0.76163,0.83527,0.52089,1.44893,0.93798,0.01816,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,6816.41,1.28577,0.86416,0.01228,0.82351,0.78614,0.84363,0.52517,1.46023,0.90068,0.01825,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,6936.07,1.27137,0.84947,0.01207,0.80523,0.78499,0.83906,0.52404,1.46047,0.90262,0.01827,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,7049.88,1.27057,0.83823,0.01188,0.82636,0.77626,0.84232,0.52835,1.44779,0.91043,0.01815,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,7165.25,1.25513,0.81945,0.01173,0.82968,0.77992,0.83932,0.52928,1.45479,0.9058,0.0182,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,7281.25,1.26025,0.82053,0.01185,0.82904,0.78537,0.84396,0.53266,1.45348,0.91624,0.01834,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,7396.62,1.25216,0.81345,0.01153,0.83399,0.79318,0.8493,0.54036,1.42133,0.89563,0.01773,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,7512.24,1.23857,0.8126,0.01164,0.83111,0.78531,0.84229,0.53241,1.45252,0.89435,0.01816,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,7626.4,1.24416,0.79631,0.01162,0.84103,0.79474,0.85129,0.54464,1.43491,0.87043,0.01773,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,7740.79,1.22267,0.80836,0.01147,0.84327,0.78999,0.85237,0.54843,1.42004,0.88406,0.01765,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,7855.23,1.22106,0.79152,0.01114,0.84743,0.79109,0.85789,0.55188,1.41909,0.87567,0.01761,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,7970.26,1.21139,0.77299,0.01117,0.84415,0.7953,0.85821,0.55269,1.42352,0.87193,0.01779,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,8085.61,1.20625,0.76875,0.01129,0.843,0.79832,0.855,0.55148,1.41489,0.88262,0.01761,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,8200.38,1.20557,0.76012,0.01109,0.84526,0.79512,0.85923,0.55764,1.41885,0.85979,0.01765,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,8314.6,1.20552,0.7514,0.01112,0.84574,0.80137,0.85766,0.55877,1.41621,0.86633,0.01763,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
