epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,6674.94,1.19835,0.75475,0.01123,0.8386,0.79859,0.85034,0.54904,1.41872,0.89313,0.01764,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,6766.72,1.18809,0.74343,0.0108,0.83917,0.79868,0.85486,0.55323,1.41458,0.88088,0.01765,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,6857.14,1.18039,0.73054,0.01068,0.84999,0.79742,0.8515,0.55554,1.39575,0.89724,0.01724,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,6947.38,1.17279,0.72871,0.01079,0.85199,0.7983,0.85154,0.55714,1.39687,0.88267,0.01723,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,7036.87,1.16911,0.74672,0.01078,0.84523,0.78795,0.85,0.55664,1.41068,0.8849,0.01757,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,7124.89,1.16259,0.71784,0.01053,0.84261,0.79692,0.85108,0.5584,1.4007,0.88604,0.01746,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,7213.61,1.15932,0.7216,0.01059,0.85656,0.79612,0.85381,0.5596,1.39675,0.89092,0.01738,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,7302.39,1.14536,0.72598,0.0105,0.84407,0.79973,0.85259,0.5619,1.38731,0.89076,0.01724,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,7391.57,1.15158,0.70162,0.01031,0.83901,0.80839,0.85598,0.56588,1.38697,0.88753,0.01725,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,7480.17,1.14184,0.70889,0.01037,0.83238,0.81186,0.85551,0.57037,1.37996,0.88641,0.01709,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,7569.56,1.12852,0.69216,0.01031,0.85056,0.8131,0.85985,0.57438,1.38209,0.86699,0.01711,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,7658.06,1.11601,0.67971,0.01023,0.84812,0.80113,0.86006,0.57185,1.38203,0.88373,0.0171,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,7746.98,1.12716,0.68108,0.01028,0.85361,0.81122,0.86274,0.57535,1.37505,0.86314,0.01711,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,7836.49,1.12409,0.67584,0.01018,0.85774,0.80397,0.86219,0.57637,1.37663,0.86106,0.01716,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,7925.95,1.10202,0.67284,0.01016,0.85092,0.8162,0.86305,0.57829,1.38547,0.86693,0.01738,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,8015.09,1.09953,0.66411,0.00998,0.85324,0.8119,0.86071,0.5785,1.38255,0.85799,0.01724,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,8104.81,1.10029,0.65481,0.00999,0.8504,0.81142,0.86019,0.58007,1.37112,0.87943,0.01706,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,8194.14,1.09776,0.6615,0.00995,0.84899,0.81423,0.86245,0.58314,1.37054,0.86093,0.01702,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,8283.74,1.09483,0.65904,0.01001,0.86212,0.80838,0.86471,0.58567,1.36382,0.86029,0.01699,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,8373.22,1.0863,0.64874,0.00984,0.86458,0.81261,0.86822,0.59198,1.35005,0.847,0.01675,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,8462.68,1.08043,0.65078,0.00977,0.86882,0.81114,0.86711,0.59025,1.35012,0.84468,0.01679,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
