epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,2853.61,1.10275,0.81527,1.27247,0.77279,0.75176,0.80518,0.48639,1.40385,0.94806,1.54234,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2920.37,1.11046,0.818,1.27161,0.79072,0.76072,0.81077,0.49691,1.39643,0.91676,1.53909,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2988.18,1.09772,0.81301,1.26696,0.79932,0.75452,0.81393,0.49672,1.38931,0.92447,1.52414,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,3055.01,1.08498,0.79461,1.25853,0.81026,0.75496,0.82419,0.50719,1.3691,0.90692,1.51567,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,3122.6,1.08964,0.79496,1.25776,0.80685,0.77127,0.82545,0.50638,1.37864,0.894,1.5316,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,3190.03,1.07134,0.77813,1.2464,0.78806,0.76561,0.815,0.50208,1.37164,0.91005,1.51987,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,3257.18,1.06534,0.77147,1.24375,0.80136,0.77189,0.8213,0.50968,1.35815,0.88973,1.50477,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,3324.96,1.05861,0.77046,1.24394,0.80614,0.77665,0.82827,0.51754,1.35441,0.89502,1.50259,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,3392.64,1.05352,0.75864,1.23788,0.80605,0.77801,0.83135,0.51522,1.35624,0.8712,1.51261,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,3460.2,1.05059,0.75503,1.23601,0.80949,0.76167,0.82376,0.5164,1.36021,0.89373,1.51586,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,3527.72,1.04401,0.74049,1.22885,0.82326,0.77496,0.83709,0.52405,1.35566,0.85365,1.51715,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,3595.11,1.02905,0.73153,1.22023,0.81236,0.77689,0.83204,0.52346,1.34239,0.85162,1.50263,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,3662.46,1.01993,0.72903,1.21587,0.81009,0.78242,0.83481,0.52628,1.35188,0.84696,1.52355,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,3729.71,1.01745,0.7195,1.21275,0.81647,0.78442,0.83642,0.53281,1.34198,0.85304,1.49824,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,3796.83,1.0096,0.71633,1.20761,0.81103,0.78253,0.83008,0.52586,1.34449,0.85453,1.51145,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,3863.92,1.00351,0.71263,1.20488,0.82934,0.77652,0.8345,0.53428,1.32135,0.83396,1.50382,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,3931.87,1.00323,0.70499,1.20195,0.83406,0.77929,0.84123,0.53786,1.32523,0.84568,1.5054,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,3999.75,0.99026,0.69371,1.19275,0.83387,0.77946,0.84314,0.54213,1.31152,0.8254,1.48207,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,4066.84,0.98234,0.68736,1.19006,0.83362,0.77614,0.84206,0.54023,1.31984,0.83907,1.50135,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,4133.89,0.98362,0.68404,1.18594,0.8288,0.78614,0.84443,0.54269,1.31798,0.8303,1.4925,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,4201.79,0.97241,0.67987,1.18168,0.83276,0.78228,0.84289,0.5432,1.31714,0.82391,1.48683,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,4270.07,0.96408,0.66729,1.17625,0.84331,0.79138,0.85047,0.55128,1.3123,0.82154,1.49257,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,4338.6,0.97422,0.67538,1.17589,0.83306,0.78946,0.84405,0.54626,1.31965,0.83077,1.48641,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,4406.36,0.96193,0.66325,1.17567,0.83296,0.79548,0.84818,0.54821,1.30565,0.81494,1.49958,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,4472.66,0.95214,0.65758,1.16503,0.84605,0.79027,0.85023,0.5567,1.30115,0.80714,1.4894,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,4540.24,0.94768,0.65141,1.16539,0.84089,0.7973,0.85706,0.56189,1.28656,0.80314,1.47458,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,4607.92,0.937,0.64274,1.1609,0.84553,0.79185,0.85251,0.56084,1.2858,0.79525,1.47737,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,4673.97,0.94241,0.64603,1.16236,0.84952,0.79919,0.85751,0.56392,1.30142,0.78922,1.4944,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,4741.02,0.93136,0.63557,1.15329,0.8481,0.80028,0.85326,0.56194,1.29311,0.80115,1.48728,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,4807.26,0.92922,0.63429,1.15092,0.8498,0.79719,0.85345,0.56592,1.27912,0.7902,1.47186,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,4875.17,0.92284,0.62251,1.14295,0.85653,0.7992,0.85384,0.56535,1.28877,0.78599,1.48776,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,4942.52,0.92278,0.62669,1.14526,0.8409,0.80463,0.85257,0.56538,1.28541,0.79057,1.47791,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,5008.94,0.91653,0.62103,1.1374,0.84923,0.80127,0.85857,0.57284,1.27445,0.78553,1.46474,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,5076.26,0.89949,0.61156,1.13292,0.85121,0.80334,0.85755,0.57269,1.27227,0.77969,1.47967,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,5142.75,0.90521,0.61185,1.13592,0.84648,0.81686,0.86017,0.57613,1.27905,0.77203,1.47988,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,5210.02,0.89666,0.60076,1.12794,0.85738,0.79985,0.86081,0.57922,1.27184,0.77634,1.46478,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,5277.32,0.89601,0.60508,1.12893,0.85689,0.80225,0.85901,0.57731,1.28121,0.77174,1.47816,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,5343.62,0.88931,0.59682,1.1211,0.85205,0.80684,0.8589,0.58051,1.2769,0.77541,1.47472,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,5410.61,0.88795,0.59169,1.12232,0.8494,0.81235,0.8571,0.58125,1.2638,0.77114,1.4749,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,5478.15,0.87344,0.58534,1.1147,0.86121,0.80134,0.86016,0.5824,1.27276,0.76815,1.4838,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,5545.42,0.8765,0.58842,1.11225,0.85229,0.8153,0.86271,0.58459,1.26236,0.76967,1.47015,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,5613.1,0.88191,0.59164,1.11779,0.86482,0.81053,0.86583,0.58715,1.25951,0.7634,1.46355,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,5680.47,0.85718,0.57827,1.10712,0.85589,0.81186,0.86615,0.5907,1.25164,0.76126,1.46124,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,5751.22,0.85901,0.57313,1.10433,0.86424,0.81,0.86722,0.59102,1.24871,0.7641,1.45465,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,5819.36,0.86214,0.57343,1.10616,0.86573,0.80953,0.86791,0.59183,1.25307,0.75398,1.46984,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,5887.2,0.85071,0.56586,1.09885,0.86912,0.81373,0.86911,0.59775,1.241,0.7411,1.45594,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,5956.26,0.84765,0.5632,1.09684,0.8638,0.81546,0.86522,0.59505,1.2459,0.74256,1.46583,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,6023.53,0.84282,0.56255,1.09719,0.87155,0.8138,0.86833,0.5968,1.24529,0.74523,1.46691,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,6093.17,0.83527,0.55533,1.09441,0.86202,0.81213,0.86779,0.59548,1.24195,0.75013,1.46861,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,6163.06,0.83914,0.55427,1.08906,0.85766,0.81659,0.86655,0.59851,1.24814,0.74743,1.47509,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,6234.99,0.8273,0.5589,1.09451,0.85956,0.81618,0.86439,0.59769,1.23778,0.75229,1.47679,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,6304.36,0.82545,0.55045,1.08653,0.86347,0.81634,0.8659,0.59979,1.24175,0.74959,1.47904,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,6379.92,0.82299,0.54415,1.08333,0.86357,0.82112,0.86834,0.60122,1.23996,0.74535,1.47748,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,6451.24,0.81437,0.5382,1.08227,0.86626,0.81518,0.86921,0.60407,1.22634,0.73935,1.46764,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,6522.7,0.81819,0.53863,1.0803,0.85481,0.8238,0.8712,0.60547,1.23281,0.74184,1.47104,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,6594.51,0.80742,0.52941,1.07397,0.86476,0.81968,0.87226,0.61063,1.22554,0.73453,1.46556,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,6664.75,0.80969,0.53175,1.07209,0.87126,0.82129,0.87137,0.6094,1.22808,0.73253,1.46624,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,6731.27,0.799,0.52652,1.07735,0.86442,0.82343,0.87185,0.6132,1.22371,0.73527,1.46445,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,6798.45,0.80322,0.52829,1.07602,0.87435,0.81996,0.87217,0.61324,1.21505,0.73092,1.46239,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,6866.27,0.7935,0.52532,1.07286,0.87798,0.81437,0.8716,0.61212,1.22761,0.73224,1.4753,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,6933.05,0.78955,0.51761,1.06571,0.87269,0.81649,0.8729,0.61261,1.22446,0.73955,1.47325,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,6999.71,0.7897,0.51455,1.063,0.87993,0.81419,0.87465,0.61551,1.21961,0.7303,1.46924,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,7066.52,0.78265,0.51028,1.05867,0.88128,0.81802,0.87581,0.61612,1.21186,0.73131,1.46304,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,7134.9,0.7788,0.50584,1.05882,0.86786,0.82627,0.87414,0.61701,1.21335,0.72745,1.46851,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,7203.87,0.78098,0.50996,1.06163,0.87068,0.82276,0.87304,0.61957,1.20711,0.72209,1.46471,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,7272.46,0.77845,0.51026,1.05786,0.8795,0.82136,0.87607,0.62137,1.21125,0.71976,1.47606,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,7340.64,0.76728,0.50456,1.05344,0.87305,0.82389,0.87424,0.62073,1.20371,0.718,1.46942,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,7407.43,0.76727,0.49978,1.05257,0.87469,0.81689,0.87285,0.62182,1.19931,0.72078,1.46829,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,7477.4,0.75356,0.49178,1.04423,0.87899,0.81883,0.87497,0.62369,1.2017,0.72153,1.4664,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
